loss,mae
0.0243,0.112
0.0185,0.095
0.0162,0.088
0.0151,0.084
0.0143,0.081
0.0138,0.079
0.0134,0.077
0.013,0.075
0.0127,0.074
0.0124,0.073
0.0122,0.072
0.012,0.071
0.0118,0.07
0.0117,0.069
0.0116,0.068
